project,project_label,SampleID,n_haplotypes,mean_depth,median_depth,qualified_ratio,haplotype_count_class
PRJNA1037681,Australia,SRR26779971,2,2158.789490968801,2024.0,0.9789819376026272,2
PRJNA1037681,Australia,SRR26780187,2,6719.614975369458,6296.0,0.9867323481116584,2
PRJNA1037681,Australia,SRR26780146,2,6605.83986863711,6154.0,0.9888998357963876,2
PRJNA1037681,Australia,SRR26780067,2,2184.974646962233,1909.0,0.9651888341543514,2
PRJNA1037681,Australia,SRR26780213,1,2589.078357963875,2418.0,0.9797701149425287,1
PRJNA1037681,Australia,SRR26780216,2,3196.9240065681447,2539.0,0.9785221674876848,2
PRJNA1037681,Australia,SRR26779994,2,2771.100623973728,2568.0,0.981215106732348,2
PRJNA1037681,Australia,SRR26780217,2,4589.03527093596,4040.0,0.9853530377668308,2
PRJNA1037681,Australia,SRR26780219,2,4033.421937602627,3835.0,0.9889655172413792,2
PRJNA1037681,Australia,SRR26780046,2,2276.11921182266,1979.0,0.96,2
PRJNA1037681,Australia,SRR26780050,2,1959.8660755336616,1418.0,0.9492939244663384,2
PRJNA1037681,Australia,SRR26780211,2,1855.6130706075533,1758.0,0.9770114942528736,2
PRJNA1037681,Australia,SRR26780044,2,3420.2765188834155,3004.0,0.9816748768472906,2
PRJNA1037681,Australia,SRR26780042,2,2599.8589819376025,2392.0,0.977536945812808,2
PRJNA1037681,Australia,SRR26780123,2,2427.5397701149427,2164.0,0.97871921182266,2
PRJNA1037681,Australia,SRR26780126,2,1607.4497865353037,1433.0,0.9508045977011494,2
PRJNA1037681,Australia,SRR26780127,2,1126.599802955665,1018.0,0.933070607553366,2
PRJNA1037681,Australia,SRR26779980,2,4476.504499178982,4194.0,0.9886371100164204,2
PRJNA1037681,Australia,SRR26779989,2,1463.0982594417078,1307.0,0.9632183908045976,2
PRJNA1037681,Australia,SRR26780034,2,1915.295106732348,1808.0,0.975632183908046,2
