project,SampleID,n_haplotypes,project_label,project_short,clade,collection_date,collection_dt,year_month,country,state,city,geographic_location,geo_stratum,qualified_ratio,mean_depth,median_depth,sort_date,global_sample_index,global_short_label,stratum
PRJNA1037681,SRR26779971,2,Australia,AU,A.D.3.1,2022/5/15,2022-05-15,2022-05,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9789819376026272,2158.789490968801,2024.0,2022-05-15,1,AU-S01,2022-05|Sydney
PRJNA1037681,SRR26780187,2,Australia,AU,A.D.3.1,2022/5/16,2022-05-16,2022-05,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9867323481116584,6719.614975369458,6296.0,2022-05-16,2,AU-S02,2022-05|Sydney
PRJNA1037681,SRR26780146,2,Australia,AU,A.D.3.1,2022/5/28,2022-05-28,2022-05,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9888998357963876,6605.83986863711,6154.0,2022-05-28,3,AU-S03,2022-05|Sydney
PRJNA1037681,SRR26780067,2,Australia,AU,A.D.3.1,2022/5/30,2022-05-30,2022-05,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9651888341543514,2184.974646962233,1909.0,2022-05-30,4,AU-S04,2022-05|Sydney
PRJNA1037681,SRR26780213,1,Australia,AU,A.D.3,2022/5/31,2022-05-31,2022-05,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9797701149425287,2589.078357963875,2418.0,2022-05-31,5,AU-S05,2022-05|Sydney
PRJNA1037681,SRR26780216,2,Australia,AU,A.D.3.1,2022/6/1,2022-06-01,2022-06,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9785221674876848,3196.9240065681447,2539.0,2022-06-01,6,AU-S06,2022-06|Sydney
PRJNA1037681,SRR26779994,2,Australia,AU,A.D.3.1,2022/6/2,2022-06-02,2022-06,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.981215106732348,2771.100623973728,2568.0,2022-06-02,7,AU-S07,2022-06|Sydney
PRJNA1037681,SRR26780217,2,Australia,AU,A.D.3.1,2022/6/2,2022-06-02,2022-06,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9853530377668308,4589.03527093596,4040.0,2022-06-02,8,AU-S08,2022-06|Sydney
PRJNA1037681,SRR26780219,2,Australia,AU,A.D.3.1,2022/6/2,2022-06-02,2022-06,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.9889655172413792,4033.421937602627,3835.0,2022-06-02,9,AU-S09,2022-06|Sydney
PRJNA1037681,SRR26780046,2,Australia,AU,A.D.3,2022/6/5,2022-06-05,2022-06,Australia,NSW,Randwick,Australia: Sydney,Sydney,0.96,2276.11921182266,1979.0,2022-06-05,10,AU-S10,2022-06|Sydney
