project,project_label,year_month,clade,n_samples
PRJNA1037681,Australia,2022-05,A.D.3,1
PRJNA1037681,Australia,2022-05,A.D.3.1,4
PRJNA1037681,Australia,2022-06,A.D.3,2
PRJNA1037681,Australia,2022-06,A.D.3.1,12
PRJNA1037681,Australia,2022-06,A.D.3.3,1
PRJNA1037681,Australia,2022-07,A.D.3,1
PRJNA1037681,Australia,2022-07,A.D.3.1,12
PRJNA1037681,Australia,2022-08,A.D.3,1
PRJNA1037681,Australia,2022-08,A.D.3.1,3
PRJNA1130896,United States,2023-10,A.D.1.5,2
PRJNA1130896,United States,2023-11,A.D.1,3
PRJNA1130896,United States,2023-11,A.D.1.5,13
PRJNA1130896,United States,2023-11,A.D.1.6,1
PRJNA1130896,United States,2023-11,A.D.1.8,1
PRJNA1130896,United States,2023-11,A.D.3,2
PRJNA1130896,United States,2023-11,A.D.3.2,1
PRJNA1130896,United States,2023-11,A.D.5.2,2
PRJNA1130896,United States,2023-11,A.D.5.3,2
PRJNA1130896,United States,2023-12,A.D.1,1
PRJNA1130896,United States,2023-12,A.D.1.5,14
PRJNA1130896,United States,2023-12,A.D.1.6,1
PRJNA1130896,United States,2023-12,A.D.1.9,3
PRJNA1130896,United States,2023-12,A.D.3.1,1
PRJNA1130896,United States,2023-12,A.D.3.2,1
PRJNA1130896,United States,2023-12,A.D.5.2,10
PRJNA1130896,United States,2024-01,A.D.1.5,4
PRJNA1130896,United States,2024-01,A.D.1.8,1
PRJNA1130896,United States,2024-01,A.D.3.3,1
PRJNA1130896,United States,2024-01,A.D.3.4,1
PRJNA1130896,United States,2024-01,A.D.5.2,2
PRJNA1130896,United States,2024-02,A.D.1.5,2
PRJNA1130896,United States,2024-04,A.D.1.5,2
PRJNA1130896,United States,2024-04,A.D.5.1,1
