project,SampleID,clade,TreeCluster_combo,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26
PRJNA1037681,SRR26779971,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7244699254025825,0.0,0.2755300745974175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779973,A.D.3.1,C6,0.0,0.0,0.0,0.0,0.0,0.19875332451875302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779974,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7140218961845151,0.0,0.28597810381548494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779976,A.D.3.1,C1+C6,0.1092118274566083,0.0,0.0,0.0,0.0,0.22155739852629872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779980,A.D.3.1,C4+C6,0.0,0.0,0.0,0.8081702482091332,0.0,0.19182975179086675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779981,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7289970914233345,0.0,0.2710029085766656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779985,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7421956932422757,0.0,0.2578043067577243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779989,A.D.3.1,C6+C7,0.0,0.0,0.0,0.0,0.0,0.28519252802168665,0.7148074719783134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26779994,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7435829657337988,0.0,0.2564170342662013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780031,A.D.3.1,C4+C6,0.0,0.0,0.0,0.6314167403432303,0.0,0.36858325965676964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780033,A.D.3.1,C6,0.0,0.0,0.0,0.0,0.0,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780034,A.D.3.1,C4+C6,0.0,0.0,0.0,0.7191127622041915,0.0,0.2808872377958085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780041,A.D.3.1,C1+C4+C6,0.09015448424142404,0.0,0.0,0.6946593790986114,0.0,0.21518613665996453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780042,A.D.3.1,C5+C6,0.0,0.0,0.0,0.0,0.6392916370598041,0.3607083629401958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780044,A.D.3.3,C2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780046,A.D.3,C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780048,A.D.3.1,C4+C6,0.0,0.0,0.0,0.5414835821019822,0.0,0.4585164178980177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780050,A.D.3,C3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PRJNA1037681,SRR26780067,A.D.3.1,C4+C6,0.0,0.0,0.0,0.5004746646779893,0.0,0.49952533532201066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
