project,project_label,SampleID,n_haplotypes,n_TreeCluster_branches,TreeCluster_combo,year_month,geo_stratum,clade,stratum,virus_clade
PRJNA1037681,Australia,SRR26779971,2,2,C4+C6,2022-05,Sydney,A.D.3.1,2022-05|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779973,1,1,C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779974,2,2,C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779976,2,2,C1+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779980,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779981,2,2,C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779985,2,2,C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779989,2,2,C6+C7,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26779994,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780031,2,2,C4+C6,2022-08,Sydney,A.D.3.1,2022-08|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780033,2,1,C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780034,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780041,3,3,C1+C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780042,2,2,C5+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780044,2,1,C2,2022-06,Sydney,A.D.3.3,2022-06|Sydney,A.D.3.3
PRJNA1037681,Australia,SRR26780046,2,1,C3,2022-06,Sydney,A.D.3,2022-06|Sydney,A.D.3
PRJNA1037681,Australia,SRR26780048,2,2,C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780050,2,1,C3,2022-06,Sydney,A.D.3,2022-06|Sydney,A.D.3
PRJNA1037681,Australia,SRR26780067,2,2,C4+C6,2022-05,Sydney,A.D.3.1,2022-05|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780110,2,1,C3,2022-07,Sydney,A.D.3,2022-07|Sydney,A.D.3
PRJNA1037681,Australia,SRR26780112,2,2,C4+C6,2022-08,Sydney,A.D.3.1,2022-08|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780115,2,2,C5+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780117,1,1,C3,2022-08,Sydney,A.D.3,2022-08|Sydney,A.D.3
PRJNA1037681,Australia,SRR26780119,2,2,C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780123,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780126,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780127,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780146,2,2,C4+C6,2022-05,Sydney,A.D.3.1,2022-05|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780187,2,2,C4+C6,2022-05,Sydney,A.D.3.1,2022-05|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780205,2,2,C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780206,2,2,C4+C6,2022-07,Sydney,A.D.3.1,2022-07|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780211,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780213,1,1,C3,2022-05,Sydney,A.D.3,2022-05|Sydney,A.D.3
PRJNA1037681,Australia,SRR26780216,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780217,2,2,C6+C7,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780219,2,2,C4+C6,2022-06,Sydney,A.D.3.1,2022-06|Sydney,A.D.3.1
PRJNA1037681,Australia,SRR26780237,2,2,C4+C6,2022-08,Sydney,A.D.3.1,2022-08|Sydney,A.D.3.1
PRJNA1130896,United States,SRR29679704,2,1,C17,2023-12,Oregon,A.D.5.2,2023-12|Oregon,A.D.5.2
