project,project_label,target_combo,k_linked_sites,mu,serial_replication_rounds,p_specific_linked_pattern_upper
PRJNA1037681,Australia,C4+C6,5,1e-06,3,2.4299817751327637e-28
PRJNA1037681,Australia,C4+C6,5,1e-06,5,3.1249609377944415e-27
PRJNA1037681,Australia,C4+C6,5,1e-06,10,9.999750003361957e-26
PRJNA1037681,Australia,C4+C6,5,1e-06,14,5.378051765120944e-25
PRJNA1037681,Australia,C4+C6,5,1e-05,3,2.429817757285424e-23
PRJNA1037681,Australia,C4+C6,5,1e-05,5,3.124609401053323e-22
PRJNA1037681,Australia,C4+C6,5,1e-05,10,9.99750033330276e-21
PRJNA1037681,Australia,C4+C6,5,1e-05,14,5.376357967328167e-20
PRJNA1037681,Australia,C4+C6,5,0.0001,3,2.428178228794155e-18
PRJNA1037681,Australia,C4+C6,5,0.0001,5,3.121096352945775e-17
PRJNA1037681,Australia,C4+C6,5,0.0001,10,9.975033302104797e-16
PRJNA1037681,Australia,C4+C6,5,0.0001,14,5.359451251764022e-15
PRJNA1130896,United States,C18+C21,2,1e-06,3,8.999973000135937e-12
PRJNA1130896,United States,C18+C21,2,1e-06,5,2.4999875000473467e-11
PRJNA1130896,United States,C18+C21,2,1e-06,10,9.999900000594793e-11
PRJNA1130896,United States,C18+C21,2,1e-06,14,1.9599725602251427e-10
PRJNA1130896,United States,C18+C21,2,1e-05,3,8.999730004718463e-10
PRJNA1130896,United States,C18+C21,2,1e-05,5,2.499875003649876e-09
PRJNA1130896,United States,C18+C21,2,1e-05,10,9.999000058331103e-09
PRJNA1130896,United States,C18+C21,2,1e-05,14,1.959725622407396e-08
PRJNA1130896,United States,C18+C21,2,0.0001,3,8.997300472437983e-08
PRJNA1130896,United States,C18+C21,2,0.0001,5,2.498750364505018e-07
PRJNA1130896,United States,C18+C21,2,0.0001,10,9.99000583083359e-07
PRJNA1130896,United States,C18+C21,2,0.0001,14,1.9572582395894673e-06
