project,project_label,param_id,haplotype_count_group,n_samples
PRJNA1037681,Australia,TF002_T10,1,1
PRJNA1037681,Australia,TF002_T10,2,29
PRJNA1037681,Australia,TF002_T10,3+,7
PRJNA1037681,Australia,TF003_T10_main,1,2
PRJNA1037681,Australia,TF003_T10_main,2,33
PRJNA1037681,Australia,TF003_T10_main,3+,2
PRJNA1037681,Australia,TF003_T15,1,4
PRJNA1037681,Australia,TF003_T15,2,31
PRJNA1037681,Australia,TF003_T15,3+,2
PRJNA1037681,Australia,TF003_T5_existing,1,10
PRJNA1037681,Australia,TF003_T5_existing,2,27
PRJNA1037681,Australia,TF005_T10,1,10
PRJNA1037681,Australia,TF005_T10,2,27
PRJNA1130896,United States,TF002_T10,1,5
PRJNA1130896,United States,TF002_T10,2,63
PRJNA1130896,United States,TF002_T10,3+,4
PRJNA1130896,United States,TF003_T10_main,1,5
PRJNA1130896,United States,TF003_T10_main,2,62
PRJNA1130896,United States,TF003_T10_main,3+,5
PRJNA1130896,United States,TF003_T15,1,5
PRJNA1130896,United States,TF003_T15,2,62
PRJNA1130896,United States,TF003_T15,3+,5
PRJNA1130896,United States,TF003_T5_existing,1,7
PRJNA1130896,United States,TF003_T5_existing,2,62
PRJNA1130896,United States,TF003_T5_existing,3+,3
PRJNA1130896,United States,TF005_T10,1,7
PRJNA1130896,United States,TF005_T10,2,62
PRJNA1130896,United States,TF005_T10,3+,3
