project,project_label,param_id,TreeCluster_threshold,n_samples,n_multi_haplotype_samples,n_cross_branch_samples,n_distinct_cross_branch_combos,dominant_combo,dominant_combo_samples,dominant_combo_fraction_of_cross_branch,tf,t,source,tested_combo,observed,permuted_mean,permuted_sd,permuted_q025,permuted_median,permuted_q975,enrichment,p_upper
PRJNA1037681,Australia,TF002_T10,0.01,37,36,35,10,C9+Unclustered,15,0.42857142857142855,0.02,10,run,C9+Unclustered,15,6.0733,1.8376247703161948,3.0,6.0,10.0,2.4698269474585484,9.999000099990002e-05
PRJNA1037681,Australia,TF003_T10_main,0.01,37,35,30,6,C4+C6,23,0.7666666666666667,0.03,10,existing_current_T10,C4+C6,23,10.4334,2.293183444260599,6.0,10.0,15.0,2.204458757452029,9.999000099990002e-05
PRJNA1037681,Australia,TF003_T15,0.01,37,33,29,9,C4+C10,8,0.27586206896551724,0.03,15,run,C4+C10,8,3.4307,1.4241489844931967,1.0,3.0,6.0,2.3318856210102896,0.0018998100189981002
PRJNA1037681,Australia,TF003_T5_existing,0.01,37,27,27,1,C1+C2,27,1.0,0.03,5,existing_old_T5,C1+C2,27,11.8023,2.485645299163846,7.0,12.0,17.0,2.2876896876032635,9.999000099990002e-05
PRJNA1037681,Australia,TF005_T10,0.01,37,27,23,5,C5+Unclustered,9,0.391304347826087,0.05,10,run,C5+Unclustered,9,5.2515,1.6588920827751965,2.0,5.0,8.0,1.713796058269066,0.023797620237976203
PRJNA1130896,United States,TF002_T10,0.015,72,67,26,4,C18+C25,13,0.5,0.02,10,run,C18+C25,13,3.9855,1.5955388821437235,1.0,4.0,7.0,3.261824112407477,9.999000099990002e-05
PRJNA1130896,United States,TF003_T10_main,0.015,72,67,26,1,C18+C21,26,1.0,0.03,10,existing_current_T10,C18+C21,26,9.2168,2.2916637912864157,5.0,9.0,14.0,2.8209356826664354,9.999000099990002e-05
PRJNA1130896,United States,TF003_T15,0.015,72,67,26,1,C18+C20,26,1.0,0.03,15,run,C18+C20,26,9.2193,2.283490517364653,5.0,9.0,14.0,2.820170728797197,9.999000099990002e-05
PRJNA1130896,United States,TF003_T5_existing,0.015,72,65,38,5,C18+C21,27,0.7105263157894737,0.03,5,existing_old_T5,C18+C21,27,8.4111,2.1667409320513293,4.0,8.0,13.0,3.210043870599565,9.999000099990002e-05
PRJNA1130896,United States,TF005_T10,0.015,72,65,26,1,C18+C20,26,1.0,0.05,10,run,C18+C20,26,9.3899,2.295300596977017,5.0,9.0,14.0,2.7689325764917623,9.999000099990002e-05
