sample,status,seconds,fasta,json,log,project,project_label,param_id,tf,t
SRR26779985,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779985/SRR26779985.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779985/SRR26779985.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779985/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780048,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780048/SRR26780048.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780048/SRR26780048.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780048/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780041,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780041/SRR26780041.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780041/SRR26780041.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780041/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779973,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779973/SRR26779973.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779973/SRR26779973.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779973/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779989,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779989/SRR26779989.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779989/SRR26779989.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779989/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779980,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779980/SRR26779980.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779980/SRR26779980.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779980/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779976,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779976/SRR26779976.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779976/SRR26779976.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779976/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779974,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779974/SRR26779974.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779974/SRR26779974.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779974/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780034,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780034/SRR26780034.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780034/SRR26780034.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780034/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780042,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780042/SRR26780042.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780042/SRR26780042.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780042/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779971,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779971/SRR26779971.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779971/SRR26779971.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779971/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780033,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780033/SRR26780033.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780033/SRR26780033.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780033/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780031,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780031/SRR26780031.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780031/SRR26780031.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780031/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780050,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780050/SRR26780050.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780050/SRR26780050.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780050/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780046,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780046/SRR26780046.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780046/SRR26780046.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780046/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779981,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779981/SRR26779981.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779981/SRR26779981.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779981/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26779994,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779994/SRR26779994.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779994/SRR26779994.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26779994/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
SRR26780044,cached,0.0,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780044/SRR26780044.fasta,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780044/SRR26780044.json,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data_v2/sensitivity_analysis/cliquesnv/TF003_T15/PRJNA1037681/SRR26780044/cliquesnv.log,PRJNA1037681,Australia,TF003_T15,0.03,15
