project,project_label,param_id,TreeCluster_threshold,n_samples,n_multi_haplotype_samples,n_cross_branch_samples,n_distinct_cross_branch_combos,dominant_combo,dominant_combo_samples,dominant_combo_fraction_of_cross_branch,tf,t,source
PRJNA1037681,Australia,TF002_T10,0.01,37,36,35,10,C9+Unclustered,15,0.42857142857142855,0.02,10,run
PRJNA1037681,Australia,TF003_T10_main,0.01,37,35,30,6,C4+C6,23,0.7666666666666667,0.03,10,existing_current_T10
PRJNA1037681,Australia,TF003_T15,0.01,37,33,29,9,C4+C10,8,0.27586206896551724,0.03,15,run
PRJNA1037681,Australia,TF003_T5_existing,0.01,37,27,27,1,C1+C2,27,1.0,0.03,5,existing_old_T5
PRJNA1037681,Australia,TF005_T10,0.01,37,27,23,5,C5+Unclustered,9,0.391304347826087,0.05,10,run
PRJNA1130896,United States,TF002_T10,0.015,72,67,26,4,C18+C25,13,0.5,0.02,10,run
PRJNA1130896,United States,TF003_T10_main,0.015,72,67,26,1,C18+C21,26,1.0,0.03,10,existing_current_T10
PRJNA1130896,United States,TF003_T15,0.015,72,67,26,1,C18+C20,26,1.0,0.03,15,run
PRJNA1130896,United States,TF003_T5_existing,0.015,72,65,38,5,C18+C21,27,0.7105263157894737,0.03,5,existing_old_T5
PRJNA1130896,United States,TF005_T10,0.015,72,65,26,1,C18+C20,26,1.0,0.05,10,run
