project,cohort,sample_id,selection_mode,selected_TreeCluster_combo,target_sites,observed_target_iSNV_sites,n_observed_target_iSNV_sites,n_required_target_sites,n_raw_isnv_rows,passes_target_iSNV_filter,passes_top_TreeCluster_combo_filter,sam_path,has_sam,queued_for_linkage
PRJNA1037681,Australia,SRR26779971,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,209,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779971.sam,True,True
PRJNA1037681,Australia,SRR26779973,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,249,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779973.sam,True,False
PRJNA1037681,Australia,SRR26779974,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,233,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779974.sam,True,True
PRJNA1037681,Australia,SRR26779976,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,226,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779976.sam,True,False
PRJNA1037681,Australia,SRR26779980,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,218,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779980.sam,True,True
PRJNA1037681,Australia,SRR26779981,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,223,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779981.sam,True,True
PRJNA1037681,Australia,SRR26779985,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,214,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779985.sam,True,True
PRJNA1037681,Australia,SRR26779989,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,220,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779989.sam,True,False
PRJNA1037681,Australia,SRR26779994,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,211,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26779994.sam,True,True
PRJNA1037681,Australia,SRR26780031,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,216,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780031.sam,True,True
PRJNA1037681,Australia,SRR26780033,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,220,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780033.sam,True,False
PRJNA1037681,Australia,SRR26780034,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,217,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780034.sam,True,True
PRJNA1037681,Australia,SRR26780041,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,226,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780041.sam,True,False
PRJNA1037681,Australia,SRR26780042,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,222,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780042.sam,True,False
PRJNA1037681,Australia,SRR26780044,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5520,1,5,204,False,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780044.sam,True,False
PRJNA1037681,Australia,SRR26780046,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5520;5544;5563,3,5,196,False,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780046.sam,True,False
PRJNA1037681,Australia,SRR26780048,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,,0,5,196,False,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780048.sam,True,True
PRJNA1037681,Australia,SRR26780050,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5520;5544;5563,3,5,201,False,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780050.sam,True,False
PRJNA1037681,Australia,SRR26780067,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5520;5544;5558;5563,4,5,217,False,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780067.sam,True,True
PRJNA1037681,Australia,SRR26780110,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5544;5563,2,5,225,False,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780110.sam,True,False
PRJNA1037681,Australia,SRR26780112,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,228,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780112.sam,True,True
PRJNA1037681,Australia,SRR26780115,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,218,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780115.sam,True,False
PRJNA1037681,Australia,SRR26780117,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,,0,5,207,False,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780117.sam,True,False
PRJNA1037681,Australia,SRR26780119,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,218,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780119.sam,True,True
PRJNA1037681,Australia,SRR26780123,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544,3,5,224,False,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780123.sam,True,True
PRJNA1037681,Australia,SRR26780126,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,231,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780126.sam,True,True
PRJNA1037681,Australia,SRR26780127,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,206,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780127.sam,True,True
PRJNA1037681,Australia,SRR26780146,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,217,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780146.sam,True,True
PRJNA1037681,Australia,SRR26780187,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,223,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780187.sam,True,True
PRJNA1037681,Australia,SRR26780205,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,220,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780205.sam,True,True
PRJNA1037681,Australia,SRR26780206,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,226,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780206.sam,True,True
PRJNA1037681,Australia,SRR26780211,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558,4,5,213,False,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780211.sam,True,True
PRJNA1037681,Australia,SRR26780213,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,,0,5,203,False,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780213.sam,True,False
PRJNA1037681,Australia,SRR26780216,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,218,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780216.sam,True,True
PRJNA1037681,Australia,SRR26780217,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,223,True,False,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780217.sam,True,False
PRJNA1037681,Australia,SRR26780219,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5520;5544,2,5,219,False,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780219.sam,True,True
PRJNA1037681,Australia,SRR26780237,top_treecluster_combo,C4+C6,5510;5520;5544;5558;5563,5510;5520;5544;5558;5563,5,5,226,True,True,/root/autodl-tmp/RSV-A-v_nogenotype/data/processed_data/sam_files-Q20-mask/PRJNA1037681/SRR26780237.sam,True,True
