project,cohort,plot_index,display_sample_id,global_sample_index,global_short_label,sample_id,collection_date,collection_dt,year_month,country,state,city,geographic_location,clade,pct_global_top2_combined,total_spanning_reads
PRJNA1037681,Australia,1,AU-S01,1,AU-S01,SRR26779971,2022/5/15,2022-05-15,2022-05,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,99.71509971509973,351
PRJNA1037681,Australia,2,AU-S02,2,AU-S02,SRR26780187,2022/5/16,2022-05-16,2022-05,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,98.03738317757009,1070
PRJNA1037681,Australia,3,AU-S03,3,AU-S03,SRR26780146,2022/5/28,2022-05-28,2022-05,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,97.31934731934732,858
PRJNA1037681,Australia,4,AU-S04,4,AU-S04,SRR26780067,2022/5/30,2022-05-30,2022-05,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,97.74436090225564,133
PRJNA1037681,Australia,5,AU-S06,6,AU-S06,SRR26780216,2022/6/1,2022-06-01,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,95.62398703403565,617
PRJNA1037681,Australia,6,AU-S07,7,AU-S07,SRR26779994,2022/6/2,2022-06-02,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,96.1630695443645,417
PRJNA1037681,Australia,7,AU-S09,9,AU-S09,SRR26780219,2022/6/2,2022-06-02,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,96.01990049751244,804
PRJNA1037681,Australia,8,AU-S12,12,AU-S12,SRR26780211,2022/6/7,2022-06-07,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,96.61016949152543,354
PRJNA1037681,Australia,9,AU-S15,15,AU-S15,SRR26780123,2022/6/19,2022-06-19,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,97.76785714285714,448
PRJNA1037681,Australia,10,AU-S16,16,AU-S16,SRR26780126,2022/6/19,2022-06-19,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,96.51162790697676,172
PRJNA1037681,Australia,11,AU-S17,17,AU-S17,SRR26780127,2022/6/21,2022-06-21,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,97.57575757575758,165
PRJNA1037681,Australia,12,AU-S18,18,AU-S18,SRR26779980,2022/6/25,2022-06-25,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,95.8958958958959,999
PRJNA1037681,Australia,13,AU-S20,20,AU-S20,SRR26780034,2022/6/27,2022-06-27,2022-06,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,97.70114942528735,261
PRJNA1037681,Australia,14,AU-S22,22,AU-S22,SRR26780119,2022/7/2,2022-07-02,2022-07,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,98.08153477218225,417
PRJNA1037681,Australia,15,AU-S25,25,AU-S25,SRR26780048,2022/7/8,2022-07-08,2022-07,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,94.82758620689656,116
PRJNA1037681,Australia,16,AU-S26,26,AU-S26,SRR26779974,2022/7/10,2022-07-10,2022-07,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,94.53781512605042,714
PRJNA1037681,Australia,17,AU-S27,27,AU-S27,SRR26779981,2022/7/10,2022-07-10,2022-07,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,93.50393700787401,508
PRJNA1037681,Australia,18,AU-S29,29,AU-S29,SRR26779985,2022/7/17,2022-07-17,2022-07,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,93.90581717451524,722
PRJNA1037681,Australia,19,AU-S32,32,AU-S32,SRR26780205,2022/7/26,2022-07-26,2022-07,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,95.90643274853801,171
PRJNA1037681,Australia,20,AU-S33,33,AU-S33,SRR26780206,2022/7/29,2022-07-29,2022-07,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,96.23430962343096,1195
PRJNA1037681,Australia,21,AU-S34,34,AU-S34,SRR26780112,2022/8/3,2022-08-03,2022-08,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,92.8030303030303,264
PRJNA1037681,Australia,22,AU-S35,35,AU-S35,SRR26780031,2022/8/5,2022-08-05,2022-08,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,96.66666666666667,150
PRJNA1037681,Australia,23,AU-S37,37,AU-S37,SRR26780237,2022/8/7,2022-08-07,2022-08,Australia,NSW,Randwick,Australia: Sydney,A.D.3.1,96.55172413793103,1392
PRJNA1130896,United States,1,US-S01,1,US-S01,SRR29679874,2023/10/13,2023-10-13,2023-10,USA,OR,Portland,"USA: Oregon, Multnomah County",A.D.1.5,99.82014388489209,556
PRJNA1130896,United States,2,US-S02,2,US-S02,SRR29679814,2023/10/22,2023-10-22,2023-10,USA,OR,Portland,"USA: Oregon, Multnomah County",A.D.1.5,99.74538510502865,3142
PRJNA1130896,United States,3,US-S05,5,US-S05,SRR29679729,2023/11/3,2023-11-03,2023-11,USA,OR,Portland,"USA: Oregon, Multnomah County",A.D.1.5,99.67752337955498,3101
