project,cohort,sample_id,selected_TreeCluster_combo,n_haplotypes,n_TreeCluster_branches
PRJNA1037681,Australia,SRR26779971,C4+C6,2,2
PRJNA1037681,Australia,SRR26779974,C4+C6,2,2
PRJNA1037681,Australia,SRR26779980,C4+C6,2,2
PRJNA1037681,Australia,SRR26779981,C4+C6,2,2
PRJNA1037681,Australia,SRR26779985,C4+C6,2,2
PRJNA1037681,Australia,SRR26779994,C4+C6,2,2
PRJNA1037681,Australia,SRR26780031,C4+C6,2,2
PRJNA1037681,Australia,SRR26780034,C4+C6,2,2
PRJNA1037681,Australia,SRR26780048,C4+C6,2,2
PRJNA1037681,Australia,SRR26780067,C4+C6,2,2
PRJNA1037681,Australia,SRR26780112,C4+C6,2,2
PRJNA1037681,Australia,SRR26780119,C4+C6,2,2
PRJNA1037681,Australia,SRR26780123,C4+C6,2,2
PRJNA1037681,Australia,SRR26780126,C4+C6,2,2
PRJNA1037681,Australia,SRR26780127,C4+C6,2,2
PRJNA1037681,Australia,SRR26780146,C4+C6,2,2
PRJNA1037681,Australia,SRR26780187,C4+C6,2,2
PRJNA1037681,Australia,SRR26780205,C4+C6,2,2
PRJNA1037681,Australia,SRR26780206,C4+C6,2,2
PRJNA1037681,Australia,SRR26780211,C4+C6,2,2
PRJNA1037681,Australia,SRR26780216,C4+C6,2,2
PRJNA1037681,Australia,SRR26780219,C4+C6,2,2
PRJNA1037681,Australia,SRR26780237,C4+C6,2,2
PRJNA1130896,United States,SRR29679716,C18+C21,2,2
PRJNA1130896,United States,SRR29679723,C18+C21,2,2
PRJNA1130896,United States,SRR29679728,C18+C21,2,2
PRJNA1130896,United States,SRR29679729,C18+C21,2,2
PRJNA1130896,United States,SRR29679738,C18+C21,2,2
PRJNA1130896,United States,SRR29679814,C18+C21,2,2
PRJNA1130896,United States,SRR29679823,C18+C21,2,2
PRJNA1130896,United States,SRR29679837,C18+C21,2,2
PRJNA1130896,United States,SRR29679842,C18+C21,2,2
PRJNA1130896,United States,SRR29679851,C18+C21,2,2
PRJNA1130896,United States,SRR29679852,C18+C21,2,2
PRJNA1130896,United States,SRR29679854,C18+C21,2,2
PRJNA1130896,United States,SRR29679864,C18+C21,2,2
PRJNA1130896,United States,SRR29679874,C18+C21,2,2
PRJNA1130896,United States,SRR29692818,C18+C21,2,2
PRJNA1130896,United States,SRR29692831,C18+C21,2,2
PRJNA1130896,United States,SRR29692854,C18+C21,2,2
PRJNA1130896,United States,SRR29692857,C18+C21,2,2
PRJNA1130896,United States,SRR29692875,C18+C21,2,2
PRJNA1130896,United States,SRR29692889,C18+C21,2,2
PRJNA1130896,United States,SRR29692933,C18+C21,2,2
PRJNA1130896,United States,SRR29692939,C18+C21,2,2
PRJNA1130896,United States,SRR29692974,C18+C21,2,2
PRJNA1130896,United States,SRR29692985,C18+C21,3,2
PRJNA1130896,United States,SRR29692998,C18+C21,2,2
PRJNA1130896,United States,SRR29693058,C18+C21,2,2
