project,project_label,TreeCluster_threshold,is_main_threshold,analysis_status,n_samples,n_haplotypes,n_treecluster_branches,n_unclustered_haplotypes,unclustered_haplotype_fraction,n_multi_haplotype_samples,n_cross_branch_samples,n_distinct_cross_branch_combos,dominant_combo,dominant_combo_samples,dominant_count_over_cross_branch,dominant_combo_fraction_of_cross_branch,permuted_mean,permuted_q025,permuted_q975,enrichment,p_upper
PRJNA1037681,Australia,0.003,False,analyzable,37,74,8,26,0.35135135135135137,35,25,9,C5+C7,9,9/25,0.36,2.0532,0.0,4.0,4.383401519579194,9.999000099990002e-05
PRJNA1037681,Australia,0.005,False,analyzable,37,74,12,5,0.06756756756756757,35,34,13,C5+C10,9,9/34,0.2647058823529412,3.3303,1.0,6.0,2.702459237906495,9.999000099990002e-05
PRJNA1037681,Australia,0.0075,False,analyzable,37,74,8,3,0.04054054054054054,35,34,7,C5+C8,23,23/34,0.6764705882352942,10.0973,6.0,15.0,2.277836649401325,9.999000099990002e-05
PRJNA1037681,Australia,0.01,True,analyzable,37,74,7,2,0.02702702702702703,35,30,6,C4+C6,23,23/30,0.7666666666666667,10.4259,6.0,15.0,2.2060445621001543,9.999000099990002e-05
PRJNA1037681,Australia,0.0125,False,too_few_cross_branch_samples,37,74,4,0,0.0,35,2,1,C1+C2,2,2/2,1.0,1.7507,0.0,2.0,1.142400182784029,0.7853214678532147
PRJNA1037681,Australia,0.015,False,overmerged_no_cross_branch_samples,37,74,3,0,0.0,35,0,0,,0,0/0,,,,,,
PRJNA1037681,Australia,0.02,False,overmerged_no_cross_branch_samples,37,74,3,0,0.0,35,0,0,,0,0/0,,,,,,
PRJNA1037681,Australia,0.025,False,overmerged_no_cross_branch_samples,37,74,2,0,0.0,35,0,0,,0,0/0,,,,,,
PRJNA1037681,Australia,0.03,False,overmerged_no_cross_branch_samples,37,74,2,0,0.0,35,0,0,,0,0/0,,,,,,
PRJNA1130896,United States,0.003,False,analyzable,72,144,26,42,0.2916666666666667,67,44,14,C18+C20,11,11/44,0.25,1.4856,0.0,4.0,7.404415724286483,9.999000099990002e-05
PRJNA1130896,United States,0.005,False,analyzable,72,144,31,22,0.1527777777777778,67,39,11,C20+C23,11,11/39,0.282051282051282,2.0679,0.0,5.0,5.3194061608395,9.999000099990002e-05
PRJNA1130896,United States,0.0075,False,analyzable,72,144,36,8,0.05555555555555555,67,40,13,C23+C27,11,11/40,0.275,2.0414,0.0,5.0,5.388458900754385,9.999000099990002e-05
PRJNA1130896,United States,0.01,False,analyzable,72,144,31,4,0.027777777777777776,67,28,6,C19+C26,11,11/28,0.3928571428571428,2.186,0.0,5.0,5.032021957913998,9.999000099990002e-05
PRJNA1130896,United States,0.0125,False,analyzable,72,144,26,0,0.0,67,26,1,C18+C21,26,26/26,1.0,9.2475,5.0,14.0,2.811570694782373,9.999000099990002e-05
PRJNA1130896,United States,0.015,True,analyzable,72,144,26,0,0.0,67,26,1,C18+C21,26,26/26,1.0,9.24,5.0,14.0,2.813852813852814,9.999000099990002e-05
PRJNA1130896,United States,0.02,False,overmerged_no_cross_branch_samples,72,144,21,0,0.0,67,0,0,,0,0/0,,,,,,
PRJNA1130896,United States,0.025,False,overmerged_no_cross_branch_samples,72,144,16,0,0.0,67,0,0,,0,0/0,,,,,,
PRJNA1130896,United States,0.03,False,overmerged_no_cross_branch_samples,72,144,15,0,0.0,67,0,0,,0,0/0,,,,,,
