TreeCluster_combo,observed_rank,observed_count,null_mean,null_sd,null_q025,null_median,null_q975,observed_expected_ratio,unadjusted_p_count,max_count_adjusted_p,observed_z,maxT_adjusted_p,project,project_label,target_combo,analysis_mode,mode_label,mode_note,mode_order
C4+C6,1,23,10.2689,2.284896896512241,6.0,10.0,15.0,2.239772517017402,4.999750012499375e-05,4.999750012499375e-05,5.5718487864521435,0.02589870506474676,PRJNA1037681,Australia,C4+C6,all_unstratified,"All samples
unstratified","all samples, no exchangeability strata",0
C5+C6,2,2,0.8404,0.6937952922839238,0.0,1.0,2.0,2.379819133745835,0.17364131793410328,1.0,1.671386377071947,0.22083895805209738,PRJNA1037681,Australia,C4+C6,all_unstratified,"All samples
unstratified","all samples, no exchangeability strata",0
C6+C7,3,2,0.83755,0.6979142867986168,0.0,1.0,2.0,2.387917139275267,0.17554122293885305,1.0,1.6656056796490613,0.35983200839958,PRJNA1037681,Australia,C4+C6,all_unstratified,"All samples
unstratified","all samples, no exchangeability strata",0
C1+C4+C6,4,1,0.02585,0.15869164014474677,0.0,0.0,1.0,38.684719535783366,0.02589870506474676,1.0,6.1386346445940845,0.02589870506474676,PRJNA1037681,Australia,C4+C6,all_unstratified,"All samples
unstratified","all samples, no exchangeability strata",0
C1+C6,5,1,0.84425,0.6952813159472958,0.0,1.0,2.0,1.184483269173823,0.6683165841707914,1.0,0.2240100466209081,0.9822508874556272,PRJNA1037681,Australia,C4+C6,all_unstratified,"All samples
unstratified","all samples, no exchangeability strata",0
C4+C6,1,23,10.67605,2.3437962937408843,6.0,11.0,15.0,2.154354840975829,4.999750012499375e-05,4.999750012499375e-05,5.2581148084034215,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,all_month_only,"All samples
month only","all samples, preserving collection month",1
C5+C6,2,2,0.88635,0.7041011755587387,0.0,1.0,2.0,2.2564449709482712,0.19754012299385032,1.0,1.581661895559632,0.4210289485525724,PRJNA1037681,Australia,C4+C6,all_month_only,"All samples
month only","all samples, preserving collection month",1
C6+C7,3,2,0.8235,0.6960402097569998,0.0,1.0,2.0,2.428658166363084,0.1695915204239788,1.0,1.690275911517723,0.27728613569321536,PRJNA1037681,Australia,C4+C6,all_month_only,"All samples
month only","all samples, preserving collection month",1
C1+C4+C6,4,1,0.08005,0.27137737522495925,0.0,0.0,1.0,12.492192379762649,0.08009599520024,1.0,3.389928873906324,0.08034598270086496,PRJNA1037681,Australia,C4+C6,all_month_only,"All samples
month only","all samples, preserving collection month",1
C1+C6,5,1,0.94335,0.7017587910172914,0.0,1.0,2.0,1.0600519425451846,0.7238638068096596,1.0,0.08072574326839337,0.9886005699715015,PRJNA1037681,Australia,C4+C6,all_month_only,"All samples
month only","all samples, preserving collection month",1
C4+C6,1,23,10.6584,2.3274622003403866,6.0,11.0,15.0,2.157922389852135,4.999750012499375e-05,4.999750012499375e-05,5.302599543053832,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,all_month_region,"All samples
month+region","all samples, preserving collection month and sampling region",2
C5+C6,2,2,0.87885,0.700640580013085,0.0,1.0,2.0,2.2757012004323833,0.19224038798060097,1.0,1.6001785108979296,0.4111794410279486,PRJNA1037681,Australia,C4+C6,all_month_region,"All samples
month+region","all samples, preserving collection month and sampling region",2
C6+C7,3,2,0.82935,0.6922806801629777,0.0,1.0,2.0,2.411527099535781,0.1688915554222289,1.0,1.6910048677429563,0.27168641567921603,PRJNA1037681,Australia,C4+C6,all_month_region,"All samples
month+region","all samples, preserving collection month and sampling region",2
C1+C4+C6,4,1,0.0771,0.26675672054774546,0.0,0.0,1.0,12.970168612191959,0.07714614269286536,1.0,3.4597066499579148,0.07734613269336534,PRJNA1037681,Australia,C4+C6,all_month_region,"All samples
month+region","all samples, preserving collection month and sampling region",2
C1+C6,5,1,0.9451,0.7000074931916992,0.0,1.0,2.0,1.0580890911014706,0.7260636968151593,1.0,0.07842773189424333,0.9871006449677516,PRJNA1037681,Australia,C4+C6,all_month_region,"All samples
month+region","all samples, preserving collection month and sampling region",2
C4+C6,1,23,13.05605,2.5180002807328616,8.0,13.0,18.0,1.7616354104036058,4.999750012499375e-05,4.999750012499375e-05,3.94914570744441,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,all_month_region_clade,"All samples
month+region+clade","all samples, preserving collection month, sampling region, and Nextclade clade",3
C5+C6,2,2,1.02805,0.7031983517445527,0.0,1.0,2.0,1.9454306697145083,0.2616869156542173,1.0,1.3821846959520114,0.5647217639118044,PRJNA1037681,Australia,C4+C6,all_month_region_clade,"All samples
month+region+clade","all samples, preserving collection month, sampling region, and Nextclade clade",3
C6+C7,3,2,1.03125,0.7098581776887701,0.0,1.0,2.0,1.9393939393939394,0.2680865956702165,1.0,1.3647092200221693,0.6829658517074146,PRJNA1037681,Australia,C4+C6,all_month_region_clade,"All samples
month+region+clade","all samples, preserving collection month, sampling region, and Nextclade clade",3
C1+C4+C6,4,1,0.10015,0.3002074011815067,0.0,0.0,1.0,9.98502246630055,0.10019499025048748,1.0,2.997427766465847,0.10114494275286236,PRJNA1037681,Australia,C4+C6,all_month_region_clade,"All samples
month+region+clade","all samples, preserving collection month, sampling region, and Nextclade clade",3
C1+C6,5,1,1.02865,0.7013228715710156,0.0,1.0,2.0,0.9721479609196519,0.768011599420029,1.0,-0.040851369834584074,0.9853507324633768,PRJNA1037681,Australia,C4+C6,all_month_region_clade,"All samples
month+region+clade","all samples, preserving collection month, sampling region, and Nextclade clade",3
C4+C6,1,23,12.31325,2.45065801851991,7.0,12.0,17.0,1.8679065234605,9.99950002499875e-05,9.99950002499875e-05,4.360767564971929,0.040197990100494976,PRJNA1037681,Australia,C4+C6,focal_unstratified,"Focal clade
unstratified","focal-clade samples only, no exchangeability strata",4
C5+C6,2,2,1.01375,0.7101310807221556,0.0,1.0,2.0,1.9728729963008633,0.2591370431478426,1.0,1.3888281005769387,0.647617619119044,PRJNA1037681,Australia,C4+C6,focal_unstratified,"Focal clade
unstratified","focal-clade samples only, no exchangeability strata",4
C6+C7,3,2,1.0123,0.7045378120983602,0.0,1.0,2.0,1.9756989034871086,0.2544372781360932,1.0,1.401911981215435,0.3536823158842058,PRJNA1037681,Australia,C4+C6,focal_unstratified,"Focal clade
unstratified","focal-clade samples only, no exchangeability strata",4
C1+C4+C6,4,1,0.0401,0.1961986612995752,0.0,0.0,1.0,24.93765586034913,0.04014799260036998,1.0,4.892490059013865,0.04014799260036998,PRJNA1037681,Australia,C4+C6,focal_unstratified,"Focal clade
unstratified","focal-clade samples only, no exchangeability strata",4
C1+C6,5,1,1.00865,0.7076017329759656,0.0,1.0,2.0,0.9914241808357706,0.7539623018849058,1.0,-0.01222439063796619,0.9339533023348833,PRJNA1037681,Australia,C4+C6,focal_unstratified,"Focal clade
unstratified","focal-clade samples only, no exchangeability strata",4
C4+C6,1,23,13.0739,2.538968512616032,8.0,13.0,18.0,1.7592302220454492,4.999750012499375e-05,4.999750012499375e-05,3.9095010240094,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,focal_month_only,"Focal clade
month only","focal-clade samples only, preserving collection month",5
C5+C6,2,2,1.036,0.7057116276817164,0.0,1.0,2.0,1.9305019305019304,0.26768661566921653,1.0,1.3659970477839065,0.5741212939353032,PRJNA1037681,Australia,C4+C6,focal_month_only,"Focal clade
month only","focal-clade samples only, preserving collection month",5
