TreeCluster_combo,observed_rank,observed_count,null_mean,null_sd,null_q025,null_median,null_q975,observed_expected_ratio,unadjusted_p_count,max_count_adjusted_p,observed_z,maxT_adjusted_p,project,project_label,target_combo,analysis_mode,mode_label,mode_note,status,mode_order
C4+C6,1,23,10.2689,2.284896896512241,6.0,10.0,15.0,2.239772517017402,4.999750012499375e-05,4.999750012499375e-05,5.5718487864521435,0.02589870506474676,PRJNA1037681,Australia,C4+C6,all_unstratified,"All samples
unstratified","all samples, no exchangeability strata",ok,0
C4+C6,1,23,10.67605,2.3437962937408843,6.0,11.0,15.0,2.154354840975829,4.999750012499375e-05,4.999750012499375e-05,5.2581148084034215,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,all_month_only,"All samples
month only","all samples, preserving collection month",ok,1
C4+C6,1,23,10.6584,2.3274622003403866,6.0,11.0,15.0,2.157922389852135,4.999750012499375e-05,4.999750012499375e-05,5.302599543053832,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,all_month_region,"All samples
month+region","all samples, preserving collection month and sampling region",ok,2
C4+C6,1,23,13.05605,2.5180002807328616,8.0,13.0,18.0,1.7616354104036058,4.999750012499375e-05,4.999750012499375e-05,3.94914570744441,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,all_month_region_clade,"All samples
month+region+clade","all samples, preserving collection month, sampling region, and Nextclade clade",ok,3
C4+C6,1,23,12.31325,2.45065801851991,7.0,12.0,17.0,1.8679065234605,9.99950002499875e-05,9.99950002499875e-05,4.360767564971929,0.040197990100494976,PRJNA1037681,Australia,C4+C6,focal_unstratified,"Focal clade
unstratified","focal-clade samples only, no exchangeability strata",ok,4
C4+C6,1,23,13.0739,2.538968512616032,8.0,13.0,18.0,1.7592302220454492,4.999750012499375e-05,4.999750012499375e-05,3.9095010240094,4.999750012499375e-05,PRJNA1037681,Australia,C4+C6,focal_month_only,"Focal clade
month only","focal-clade samples only, preserving collection month",ok,5
C4+C6,1,23,13.03115,2.523192026461691,8.0,13.0,18.0,1.7650015539687594,9.99950002499875e-05,9.99950002499875e-05,3.950888357070256,9.99950002499875e-05,PRJNA1037681,Australia,C4+C6,focal_month_region,"Focal clade
month+region","focal-clade samples only, preserving collection month and sampling region",ok,6
C4+C6,1,23,18.21585,1.2908300002728506,16.0,18.0,21.0,1.2626366598319596,0.000599970001499925,0.000599970001499925,3.7062587629577446,0.000599970001499925,PRJNA1037681,Australia,C4+C6,all_month_region_role,"All samples
month+region+role","all samples, preserving collection month, sampling region, and major/minor haplotype role",ok,7
C18+C21,1,26,6.58425,2.091535479864776,3.0,7.0,11.0,3.948817253293845,4.999750012499375e-05,4.999750012499375e-05,9.28301249819357,4.999750012499375e-05,PRJNA1130896,United States,C18+C21,all_unstratified,"All samples
unstratified","all samples, no exchangeability strata",ok,0
C18+C21,1,26,8.0832,2.3064569684230745,4.0,8.0,13.0,3.216547901821061,4.999750012499375e-05,4.999750012499375e-05,7.768105039587938,4.999750012499375e-05,PRJNA1130896,United States,C18+C21,all_month_only,"All samples
month only","all samples, preserving collection month",ok,1
C18+C21,1,26,9.21765,2.287802478254837,5.0,9.0,14.0,2.8206755517946545,4.999750012499375e-05,4.999750012499375e-05,7.335576457982412,4.999750012499375e-05,PRJNA1130896,United States,C18+C21,all_month_region,"All samples
month+region","all samples, preserving collection month and sampling region",ok,2
C18+C21,1,26,15.95765,2.6460549045376767,11.0,16.0,21.0,1.629312586753062,4.999750012499375e-05,4.999750012499375e-05,3.7952160337937575,4.999750012499375e-05,PRJNA1130896,United States,C18+C21,all_month_region_clade,"All samples
month+region+clade","all samples, preserving collection month, sampling region, and Nextclade clade",ok,3
C18+C21,1,26,13.92755,2.6285445516146364,9.0,14.0,19.0,1.8668035655948103,4.999750012499375e-05,4.999750012499375e-05,4.59282685263381,4.999750012499375e-05,PRJNA1130896,United States,C18+C21,focal_unstratified,"Focal clade
unstratified","focal-clade samples only, no exchangeability strata",ok,4
C18+C21,1,26,15.0803,2.735658257404434,10.0,15.0,20.0,1.7241036318906122,4.999750012499375e-05,4.999750012499375e-05,3.991616997643743,4.999750012499375e-05,PRJNA1130896,United States,C18+C21,focal_month_only,"Focal clade
month only","focal-clade samples only, preserving collection month",ok,5
C18+C21,1,26,15.9718,2.6729313474347607,11.0,16.0,21.0,1.6278691193228065,9.99950002499875e-05,9.99950002499875e-05,3.7517611552665446,9.99950002499875e-05,PRJNA1130896,United States,C18+C21,focal_month_region,"Focal clade
month+region","focal-clade samples only, preserving collection month and sampling region",ok,6
C18+C21,1,26,13.279,1.8526550182186716,10.0,13.0,17.0,1.957978763461104,4.999750012499375e-05,4.999750012499375e-05,6.866361991252557,4.999750012499375e-05,PRJNA1130896,United States,C18+C21,all_month_region_role,"All samples
month+region+role","all samples, preserving collection month, sampling region, and major/minor haplotype role",ok,7
