SequenceName	ClusterNumber
EPI_ISL_412866	-1
PRJNA1130896_SRR29679843_H2_freq0.23806805724989766	1
PRJNA1130896_SRR29679843_H1_freq0.7619319427501023	1
PRJNA1130896_SRR29679834_H1_freq1.0	1
PRJNA1130896_SRR29692884_H2_freq0.18608603547648028	2
PRJNA1130896_SRR29679712_H2_freq0.27536264645145714	2
PRJNA1130896_SRR29692884_H1_freq0.8139139645235197	2
PRJNA1130896_SRR29679712_H1_freq0.7246373535485429	2
PRJNA1130896_SRR29692828_H2_freq0.33178382773740617	3
PRJNA1130896_SRR29679809_H2_freq0.2621181012351372	3
PRJNA1130896_SRR29692828_H1_freq0.6682161722625938	3
PRJNA1130896_SRR29679809_H1_freq0.7378818987648629	3
PRJNA1130896_SRR29679753_H2_freq0.1871231083886671	3
PRJNA1130896_SRR29679753_H1_freq0.8128768916113328	3
PRJNA1130896_SRR29692967_H2_freq0.14515901880489032	4
PRJNA1130896_SRR29679732_H2_freq0.14019485801101922	4
PRJNA1130896_SRR29679732_H3_freq0.03265968797254467	4
PRJNA1130896_SRR29692967_H1_freq0.8548409811951098	4
PRJNA1130896_SRR29679732_H1_freq0.8271454540164361	4
PRJNA1130896_SRR29693059_H2_freq0.32786171030874334	5
PRJNA1130896_SRR29693059_H1_freq0.6721382896912568	5
PRJNA1130896_SRR29679826_H2_freq0.29918894380113337	6
PRJNA1130896_SRR29679706_H2_freq0.27273814797578183	6
PRJNA1130896_SRR29679826_H1_freq0.7008110561988667	6
PRJNA1130896_SRR29679706_H1_freq0.7272618520242182	6
PRJNA1130896_SRR29692873_H2_freq0.23992275980266467	7
PRJNA1130896_SRR29692873_H1_freq0.7600772401973354	7
PRJNA1130896_SRR29692824_H2_freq0.1291367266094151	8
PRJNA1130896_SRR29679721_H3_freq0.10068097389118784	8
PRJNA1130896_SRR29679721_H2_freq0.2418694315594012	8
PRJNA1130896_SRR29692824_H1_freq0.870863273390585	8
PRJNA1130896_SRR29679721_H1_freq0.657449594549411	8
PRJNA1130896_SRR29679844_H3_freq0.33318427284574487	9
PRJNA1130896_SRR29679844_H2_freq0.3333461508985229	9
PRJNA1130896_SRR29679844_H1_freq0.3334695762557324	9
PRJNA1130896_SRR29679720_H2_freq0.21431206488272103	10
PRJNA1130896_SRR29679720_H1_freq0.785687935117279	10
PRJNA1130896_SRR29693060_H2_freq0.2561217986715966	11
PRJNA1130896_SRR29693060_H1_freq0.7438782013284034	11
PRJNA1130896_SRR29679731_H2_freq0.3074214795372593	12
PRJNA1130896_SRR29679731_H1_freq0.6925785204627408	12
PRJNA1130896_SRR29692977_H2_freq0.28623172293434646	13
PRJNA1130896_SRR29692977_H1_freq0.7137682770656535	13
PRJNA1130896_SRR29679833_H2_freq0.19593480066235452	14
PRJNA1130896_SRR29679830_H2_freq0.2720241587912167	14
PRJNA1130896_SRR29679833_H1_freq0.8040651993376454	14
PRJNA1130896_SRR29679830_H1_freq0.7279758412087833	14
PRJNA1130896_SRR29692982_H2_freq0.2537385153148863	15
PRJNA1130896_SRR29692943_H2_freq0.318087002107357	15
PRJNA1130896_SRR29692991_H2_freq0.24394526606567166	15
PRJNA1130896_SRR29692936_H2_freq0.2613937941549339	15
PRJNA1130896_SRR29692943_H1_freq0.681912997892643	15
PRJNA1130896_SRR29692982_H1_freq0.7462614846851137	15
PRJNA1130896_SRR29692991_H1_freq0.7560547339343282	15
PRJNA1130896_SRR29692936_H1_freq0.7386062058450661	15
PRJNA1130896_SRR29692926_H1_freq1.0	16
PRJNA1130896_SRR29692880_H2_freq0.034278022942960756	16
PRJNA1130896_SRR29692880_H1_freq0.9657219770570393	16
PRJNA1130896_SRR29679704_H2_freq0.1917494621710477	17
PRJNA1130896_SRR29679704_H1_freq0.8082505378289522	17
PRJNA1130896_SRR29692865_H2_freq0.1863098034788985	18
PRJNA1130896_SRR29692865_H1_freq0.8136901965211014	18
PRJNA1130896_SRR29692875_H2_freq0.26392637331362406	18
PRJNA1130896_SRR29679823_H2_freq0.2566751588058488	18
PRJNA1130896_SRR29679874_H2_freq0.29373926046973664	18
PRJNA1130896_SRR29692933_H2_freq0.29802938797281625	18
PRJNA1130896_SRR29692974_H2_freq0.26102349587654844	18
PRJNA1130896_SRR29692889_H2_freq0.2325084752885921	18
PRJNA1130896_SRR29692831_H2_freq0.3901149543513222	18
PRJNA1130896_SRR29679854_H2_freq0.3070503523749552	18
PRJNA1130896_SRR29679814_H2_freq0.34877461308568963	18
PRJNA1130896_SRR29692818_H2_freq0.3932206255877718	18
PRJNA1130896_SRR29679729_H2_freq0.3137706882550839	18
PRJNA1130896_SRR29679738_H2_freq0.24395874715635568	18
PRJNA1130896_SRR29692998_H2_freq0.17939761984375438	18
PRJNA1130896_SRR29692857_H2_freq0.2006017690960808	18
PRJNA1130896_SRR29692985_H2_freq0.19093593725075014	18
PRJNA1130896_SRR29693058_H2_freq0.4618596794791332	18
PRJNA1130896_SRR29692939_H2_freq0.23261978535122224	18
