tree_id,record_type,source,label,project,SampleID,TreeCluster_branch,Frequency,clade,country,date,cluster_size,AU_barcode_class,US_barcode_class
NG2026_Grep00006,global_consensus_representative,Nextstrain_2026_global,PP_0016JJ0,global,PP_0016JJ0,,,A.D,Philippines,2012-12-XX,5,AU_other_complete,US_C18_like
NG2026_Grep00010,global_consensus_representative,Nextstrain_2026_global,PP_0016JPQ,global,PP_0016JPQ,,,A.D,Philippines,2013-01-XX,1,AU_other_complete,US_C18_like
NG2026_Grep00012,global_consensus_representative,Nextstrain_2026_global,PP_001778W,global,PP_001778W,,,A.3,China,XXXX-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00013,global_consensus_representative,Nextstrain_2026_global,PP_00177AS,global,PP_00177AS,,,A.3,China,XXXX-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00015,global_consensus_representative,Nextstrain_2026_global,PP_00194PY,global,PP_00194PY,,,A.3,USA,1998-01-06,1,AU_ambiguous,US_ambiguous
NG2026_Grep00017,global_consensus_representative,Nextstrain_2026_global,PP_00194UN,global,PP_00194UN,,,A.3,USA,1998-05-17,1,AU_ambiguous,US_ambiguous
NG2026_Grep00018,global_consensus_representative,Nextstrain_2026_global,PP_00197VH,global,PP_00197VH,,,A.D,Canada,2010-12-29,4,AU_other_complete,US_C18_like
NG2026_Grep00023,global_consensus_representative,Nextstrain_2026_global,PP_0019D4U,global,PP_0019D4U,,,A.2.1,Netherlands,2001-01-24,1,AU_ambiguous,US_other_complete
NG2026_Grep00025,global_consensus_representative,Nextstrain_2026_global,PP_0019DVB,global,PP_0019DVB,,,A.2.1.1,Netherlands,2006-01-02,1,AU_ambiguous,US_other_complete
NG2026_Grep00028,global_consensus_representative,Nextstrain_2026_global,PP_0019EE7,global,PP_0019EE7,,,A.2.1,USA,2000-03-04,1,AU_ambiguous,US_other_complete
NG2026_Grep00029,global_consensus_representative,Nextstrain_2026_global,PP_0019ED9,global,PP_0019ED9,,,A.2.1,USA,1998-12-12,1,AU_ambiguous,US_other_complete
NG2026_Grep00031,global_consensus_representative,Nextstrain_2026_global,PP_0019HZZ,global,PP_0019HZZ,,,A.2,USA,1991-01-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00037,global_consensus_representative,Nextstrain_2026_global,PP_0019JAB,global,PP_0019JAB,,,A.2.1,USA,2004-12-XX,3,AU_ambiguous,US_other_complete
NG2026_Grep00038,global_consensus_representative,Nextstrain_2026_global,PP_0019JF1,global,PP_0019JF1,,,A.2.1.1,USA,2004-12-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00039,global_consensus_representative,Nextstrain_2026_global,PP_0019JJU,global,PP_0019JJU,,,A.2.1,USA,2005-01-XX,1,AU_ambiguous,US_ambiguous
NG2026_Grep00040,global_consensus_representative,Nextstrain_2026_global,PP_0019JPJ,global,PP_0019JPJ,,,A,Australia,1961-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00041,global_consensus_representative,Nextstrain_2026_global,PP_0019UT0,global,PP_0019UT0,,,A.D,South Korea,2011-12-27,6,AU_other_complete,US_C18_like
NG2026_Grep00084,global_consensus_representative,Nextstrain_2026_global,PP_001BBE6,global,PP_001BBE6,,,A.D,Spain,2012-12-13,3,AU_other_complete,US_other_complete
NG2026_Grep00090,global_consensus_representative,Nextstrain_2026_global,PP_001BC9F,global,PP_001BC9F,,,A.2.1.1,USA,2002-XX-XX,19,AU_ambiguous,US_other_complete
NG2026_Grep00093,global_consensus_representative,Nextstrain_2026_global,PP_001BKV1,global,PP_001BKV1,,,A.2.1,USA,2002-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00094,global_consensus_representative,Nextstrain_2026_global,PP_001BKYV,global,PP_001BKYV,,,A.2.1.1,USA,2002-XX-XX,1,AU_C4_like,US_other_complete
NG2026_Grep00097,global_consensus_representative,Nextstrain_2026_global,PP_001BLFV,global,PP_001BLFV,,,A.2.1,USA,2001-XX-XX,7,AU_ambiguous,US_other_complete
NG2026_Grep00098,global_consensus_representative,Nextstrain_2026_global,PP_001BLKL,global,PP_001BLKL,,,A.2.1,USA,2001-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00099,global_consensus_representative,Nextstrain_2026_global,PP_001BLMG,global,PP_001BLMG,,,A.2.1,USA,2001-XX-XX,3,AU_ambiguous,US_other_complete
NG2026_Grep00100,global_consensus_representative,Nextstrain_2026_global,PP_001BLR8,global,PP_001BLR8,,,A.2.1,USA,2001-XX-XX,3,AU_ambiguous,US_other_complete
NG2026_Grep00101,global_consensus_representative,Nextstrain_2026_global,PP_001BLU2,global,PP_001BLU2,,,A.2.1,USA,2001-XX-XX,3,AU_ambiguous,US_other_complete
NG2026_Grep00103,global_consensus_representative,Nextstrain_2026_global,PP_001BM0Q,global,PP_001BM0Q,,,A.2.1,USA,2001-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00106,global_consensus_representative,Nextstrain_2026_global,PP_001BMB2,global,PP_001BMB2,,,A.2.1,USA,2001-XX-XX,6,AU_ambiguous,US_other_complete
NG2026_Grep00107,global_consensus_representative,Nextstrain_2026_global,PP_001BMHP,global,PP_001BMHP,,,A.2.1,USA,2001-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00108,global_consensus_representative,Nextstrain_2026_global,PP_001BMKK,global,PP_001BMKK,,,A.2.1,USA,2001-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00109,global_consensus_representative,Nextstrain_2026_global,PP_001BMND,global,PP_001BMND,,,A.2.1,USA,2001-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00111,global_consensus_representative,Nextstrain_2026_global,PP_001BN2K,global,PP_001BN2K,,,A.2.1,USA,2003-XX-XX,4,AU_ambiguous,US_other_complete
NG2026_Grep00112,global_consensus_representative,Nextstrain_2026_global,PP_001BN87,global,PP_001BN87,,,A.2.1,USA,2003-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00115,global_consensus_representative,Nextstrain_2026_global,PP_001BNGR,global,PP_001BNGR,,,A.2.1,USA,2012-XX-XX,122,AU_ambiguous,US_other_complete
NG2026_Grep00116,global_consensus_representative,Nextstrain_2026_global,PP_001BPHM,global,PP_001BPHM,,,A.2.1,USA,2013-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00117,global_consensus_representative,Nextstrain_2026_global,PP_001BQET,global,PP_001BQET,,,A.2.1,USA,2013-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00136,global_consensus_representative,Nextstrain_2026_global,PP_001BW39,global,PP_001BW39,,,A.1,USA,1989-XX-XX,1,AU_ambiguous,US_ambiguous
NG2026_Grep00138,global_consensus_representative,Nextstrain_2026_global,PP_001BWAV,global,PP_001BWAV,,,A.1,USA,1990-XX-XX,1,AU_ambiguous,US_ambiguous
NG2026_Grep00146,global_consensus_representative,Nextstrain_2026_global,PP_001C405,global,PP_001C405,,,A.D,Spain,2014-01-01,4,AU_other_complete,US_C18_like
NG2026_Grep00180,global_consensus_representative,Nextstrain_2026_global,PP_001C5RM,global,PP_001C5RM,,,A.D,China,2013-11-XX,19,AU_other_complete,US_C18_like
NG2026_Grep00183,global_consensus_representative,Nextstrain_2026_global,PP_001C5WB,global,PP_001C5WB,,,A.D,China,2013-12-XX,8,AU_other_complete,US_C18_like
NG2026_Grep00190,global_consensus_representative,Nextstrain_2026_global,PP_001C6DB,global,PP_001C6DB,,,A.D,China,2014-01-XX,5,AU_other_complete,US_C18_like
NG2026_Grep00197,global_consensus_representative,Nextstrain_2026_global,PP_001C6VC,global,PP_001C6VC,,,A.D,China,2014-02-XX,5,AU_other_complete,US_C18_like
NG2026_Grep00216,global_consensus_representative,Nextstrain_2026_global,PP_001CBV7,global,PP_001CBV7,,,A,USA,1994-XX-XX,1,AU_ambiguous,US_ambiguous
NG2026_Grep00217,global_consensus_representative,Nextstrain_2026_global,PP_001CBW5,global,PP_001CBW5,,,A.2,USA,1995-XX-XX,2,AU_ambiguous,US_other_complete
NG2026_Grep00218,global_consensus_representative,Nextstrain_2026_global,PP_001CBY1,global,PP_001CBY1,,,A.2,USA,1991-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00220,global_consensus_representative,Nextstrain_2026_global,PP_001CC8F,global,PP_001CC8F,,,A.2.1,USA,1997-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00221,global_consensus_representative,Nextstrain_2026_global,PP_001CC9D,global,PP_001CC9D,,,A.2,USA,1992-XX-XX,1,AU_ambiguous,US_other_complete
NG2026_Grep00232,global_consensus_representative,Nextstrain_2026_global,PP_001CR66,global,PP_001CR66,,,A.D,Spain,2014-11-29,16,AU_other_complete,US_other_complete
NG2026_Grep00264,global_consensus_representative,Nextstrain_2026_global,PP_001DHU1,global,PP_001DHU1,,,A.1,USA,1992-XX-XX,1,AU_ambiguous,US_ambiguous
NG2026_Grep00265,global_consensus_representative,Nextstrain_2026_global,PP_001DHYT,global,PP_001DHYT,,,A.1,USA,1989-XX-XX,1,AU_ambiguous,US_ambiguous
NG2026_Grep00266,global_consensus_representative,Nextstrain_2026_global,PP_001DJ2K,global,PP_001DJ2K,,,A.1,USA,1992-XX-XX,1,AU_ambiguous,US_ambiguous
