project,sample_id,sequence_name,haplotype_id,haplotype_frequency,sequence_length,cohort
PRJNA1037681,SRR26779971,PRJNA1037681_SRR26779971_H1_freq0.7244699254025825,H1,0.7244699254025825,966,Australia
PRJNA1037681,SRR26779971,PRJNA1037681_SRR26779971_H2_freq0.2755300745974175,H2,0.2755300745974175,966,Australia
PRJNA1037681,SRR26779973,PRJNA1037681_SRR26779973_H1_freq0.801246675481247,H1,0.801246675481247,966,Australia
PRJNA1037681,SRR26779973,PRJNA1037681_SRR26779973_H2_freq0.19875332451875302,H2,0.19875332451875302,966,Australia
PRJNA1037681,SRR26779974,PRJNA1037681_SRR26779974_H1_freq0.7140218961845151,H1,0.7140218961845151,966,Australia
PRJNA1037681,SRR26779974,PRJNA1037681_SRR26779974_H2_freq0.28597810381548494,H2,0.28597810381548494,966,Australia
PRJNA1037681,SRR26779976,PRJNA1037681_SRR26779976_H1_freq0.669230774017093,H1,0.669230774017093,966,Australia
PRJNA1037681,SRR26779976,PRJNA1037681_SRR26779976_H2_freq0.22155739852629872,H2,0.22155739852629872,966,Australia
PRJNA1037681,SRR26779976,PRJNA1037681_SRR26779976_H3_freq0.1092118274566083,H3,0.1092118274566083,966,Australia
PRJNA1037681,SRR26779980,PRJNA1037681_SRR26779980_H1_freq0.8081702482091332,H1,0.8081702482091332,966,Australia
PRJNA1037681,SRR26779980,PRJNA1037681_SRR26779980_H2_freq0.19182975179086675,H2,0.19182975179086675,966,Australia
PRJNA1037681,SRR26779981,PRJNA1037681_SRR26779981_H1_freq0.7289970914233345,H1,0.7289970914233345,966,Australia
PRJNA1037681,SRR26779981,PRJNA1037681_SRR26779981_H2_freq0.2710029085766656,H2,0.2710029085766656,966,Australia
PRJNA1037681,SRR26779985,PRJNA1037681_SRR26779985_H1_freq0.7421956932422757,H1,0.7421956932422757,966,Australia
PRJNA1037681,SRR26779985,PRJNA1037681_SRR26779985_H2_freq0.2578043067577243,H2,0.2578043067577243,966,Australia
PRJNA1037681,SRR26779989,PRJNA1037681_SRR26779989_H1_freq0.7148074719783134,H1,0.7148074719783134,966,Australia
